0.0400772+0.00343322i,0.0248254+0.00173378i,0.00245802+0.00194439i
0.0390616+0.0054968i,0.0265515+0.00323335i,0.00188686+0.00214258i
0.037875+0.00649827i,0.0278967+0.00458441i,0.00134831+0.002217i
0.0366364+0.00647881i,0.0288621+0.0055935i,0.000865199+0.0022013i
0.0353954+0.00550811i,0.02947+0.00610718i,0.000450194+0.00212852i
0.0341347+0.00367529i,0.0297408+0.00602003i,0.000108731+0.00202807i
0.0327798+0.00108639i,0.0296751+0.00527777i,-0.000158132+0.00192378i
0.0312109+-0.0021327i,0.029244+0.00387859i,-0.000351342+0.00183288i
0.0292793+-0.00582937i,0.0283875+0.00187479i,-0.000472294+0.00176537i
0.0268273+-0.00981632i,0.0270214+-0.000624828i,-0.000522249+0.001724i
0.0237116+-0.0138655i,0.0250531+-0.00345286i,-0.000502724+0.00170455i
0.0198295+-0.0177071i,0.0224044+-0.00638398i,-0.000416685+0.00169673i
0.0151453+-0.0210376i,0.019039+-0.0091417i,-0.000270193+0.00168583i
0.00971453+-0.0235371i,0.0149935+-0.011415i,-7.39136e-05+0.00165529i
0.00370011+-0.024899i,0.0104036+-0.0128876i,0.000156237+0.00159011i
-0.00262371+-0.024867i,0.00552044+-0.0132796i,0.000400042+0.00148045i
0.0360239+-0.011095i,0.0145004+0.000543903i,0.00358367+-0.000305836i
0.0378476+-0.00592667i,0.0161033+0.000701651i,0.00336396+0.000473343i
0.0386224+-0.00127563i,0.0180112+0.00131811i,0.00297375+0.00110894i
0.0385987+0.00260827i,0.0199708+0.00235322i,0.00247575+0.00158087i
0.0380327+0.00556942i,0.0217944+0.00366986i,0.00192766+0.00189151i
0.037153+0.00753221i,0.0233708+0.00508133i,0.00137688+0.0020597i
0.0361377+0.00848222i,0.0246559+0.00639034i,0.000858348+0.00211436i
0.0351025+0.0084477i,0.025652+0.00741592i,0.000395066+0.00208862i
0.0340953+0.00748498i,0.0263836+0.00800911i,1.47269e-07+0.00201529i
0.0330992+0.0056695i,0.0268747+0.00806016i,-0.000320278+0.00192348i
0.0320389+0.00309334i,0.027131+0.0075012i,-0.000564168+0.00183646i
0.0307922+-0.000131622i,0.0271284+0.00630739i,-0.000731204+0.00177038i
0.0292056+-0.0038666i,0.0268094+0.00449879i,-0.000821331+0.00173348i
0.0271134+-0.00793718i,0.0260865+0.00214391i,-0.000834403+0.0017259i
0.0243605+-0.0121263i,0.0248535+-0.000635888i,-0.000770948+0.00173996i
0.0208294+-0.0161723i,0.0230043+-0.00366301i,-0.00063386+0.00176114i
0.0164668+-0.0197755i,0.0204579+-0.00670441i,-0.000430596+0.00177014i
0.0113093+-0.0226155i,0.017187+-0.00948022i,-0.00017515+0.00174612i
0.00550031+-0.0243794i,0.0132475+-0.0116836i,0.000111119+0.0016711i
-0.000704131+-0.0248003i,0.00880163+-0.013014i,0.000400804+0.00153494i
0.0330974+-0.00882875i,0.0127603+0.00207788i,0.00295307+-0.000280686i
0.0349056+-0.00414651i,0.0139785+0.00216479i,0.00278174+0.000409988i
0.0357678+0.000126786i,0.0155469+0.00266297i,0.00244261+0.000983293i
0.0358959+0.0037405i,0.0172294+0.00355972i,0.00199269+0.00141379i
0.0355177+0.00652862i,0.0188477+0.00474619i,0.00148692+0.00169897i
0.0348439+0.00840045i,0.0202937+0.00606126i,0.000971817+0.0018539i
0.0340435+0.00932503i,0.0215233+0.0073279i,0.000482627+0.00190485i
0.0332289+0.00931445i,0.0225383+0.00837861i,4.32055e-05+0.00188331i
0.0324489+0.00840983i,0.0233642+0.00907008i,-0.00033214+0.00182113i
0.0316891+0.00667256i,0.0240288+0.00929002i,-0.000635894+0.00174687i
0.0308773+0.00418152i,0.0245444+0.00895927i,-0.00086445+0.00168334i
0.0298939+0.00103601i,0.0248958+0.00803265i,-0.00101576+0.00164601i
0.0285859+-0.00263714i,0.0250333+0.00650075i,-0.00108793+0.00164207i
0.0267855+-0.00667477i,0.0248733+0.0043938i,-0.00107901+0.00166996i
0.0243335+-0.01087i,0.0243055+0.00178762i,-0.000988073+0.00171956i
0.0211048+-0.0149695i,0.0232061+-0.00118999i,-0.000817248+0.0017732i
0.0170367+-0.0186801i,0.0214594+-0.00435487i,-0.000574433+0.00180792i
0.012154+-0.0216848i,0.0189838+-0.00746777i,-0.00027569+0.00179919i
0.00658745+-0.023672i,0.0157614+-0.010245i,5.36801e-05+0.00172621i
0.000579238+-0.0243726i,0.0118658+-0.0123815i,0.000380616+0.00157785i
0.0294686+-0.00738984i,0.0111001+0.0029117i,0.00230954+-0.000376695i
0.0313779+-0.00328427i,0.0119915+0.00293169i,0.00221637+0.000225107i
0.0324373+0.000551362i,0.013267+0.00331552i,0.00195489+0.000742026i
0.0328123+0.00386064i,0.0147087+0.00407757i,0.00157526+0.00114137i
0.0326983+0.00646206i,0.016147+0.00513752i,0.00112907+0.00141386i
0.0322853+0.00824523i,0.0174764+0.00636018i,0.000661997+0.00156903i
0.0317317+0.00915901i,0.0186513+0.00758931i,0.000209879+0.00162908i
0.0311466+0.00919679i,0.019672+0.00867158i,-0.00020201+0.00162281i
0.0305806+0.00838333i,0.0205641+0.00947056i,-0.000557589+0.00158042i
0.0300241+0.00676598i,0.0213595+0.00987307i,-0.000847434+0.00152958i
0.0294109+0.00441154i,0.022078+0.00979104i,-0.00106598+0.00149264i
0.0286271+0.00140868i,0.0227149+0.00916184i,-0.0012092+0.0014847i
0.0275249+-0.00212546i,0.0232319+0.00794968i,-0.00127323+0.00151244i
0.0259404+-0.00603672i,0.0235544+0.0061495i,-0.00125425+0.0015734i
0.0237161+-0.0101267i,0.0235736+0.00379366i,-0.0011497+0.00165604i
0.0207269+-0.0141503i,0.0231561+0.000960707i,-0.000960687+0.00174064i
0.016908+-0.0178215i,0.0221598+-0.00221594i,-0.000694915+0.00180175i
0.0122802+-0.0208308i,0.0204566+-0.00554253i,-0.000369524+0.00181218i
0.00696827+-0.0228729i,0.0179613+-0.00876663i,-1.23526e-05+0.00174891i
0.00120559+-0.0236851i,0.0146624+-0.0115899i,0.000339608+0.00159985i
0.0253563+-0.00658205i,0.00960835+0.00312396i,0.00166267+-0.000536409i
0.0274444+-0.00312797i,0.0102358+0.0031032i,0.00166673+-2.6471e-05i
0.0287758+0.000215446i,0.0112664+0.00339825i,0.00150122+0.000435815i
0.0294647+0.00318369i,0.012502+0.00404846i,0.00120808+0.000809421i
0.0296689+0.00557691i,0.0137832+0.00500085i,0.000834813+0.00107697i
