-0.00445579+0.0633799i,0.0136413+0.0189312i,0.000909781+-0.0016009i
0.000474818+0.0632879i,0.0130633+0.0179404i,0.000303883+-0.00246193i
0.00657074+0.0619668i,0.0126761+0.0165612i,-0.000486354+-0.00316119i
0.0134475+0.0591014i,0.0123885+0.0148593i,-0.00144796+-0.0036083i
0.0205661+0.054451i,0.0120995+0.0129095i,-0.00252567+-0.00371636i
0.0272583+0.0479279i,0.01171+0.0108i,-0.00361836+-0.00341966i
0.0185179+0.0154556i,0.00848834+-0.0149996i,0.0043723+-0.000162745i
0.0173327+0.0201323i,0.0132639+-0.0128168i,0.00458387+0.000650825i
0.0153749+0.0248899i,0.0172274+-0.00935531i,0.00456501+0.00143081i
0.012698+0.0295104i,0.0200977+-0.00504312i,0.00435496+0.002089i
0.0094581+0.0338154i,0.0217902+-0.000333084i,0.0040139+0.00256509i
0.00588268+0.0376921i,0.022382+0.00436754i,0.00360675+0.00282784i
0.00223689+0.0410988i,0.0220621+0.00873791i,0.00319052+0.00287056i
-0.00120525+0.0440538i,0.0210784+0.0125576i,0.00280622+0.0027042i
-0.00418184+0.046614i,0.0196929+0.0157008i,0.00247506+0.00235038i
-0.00645626+0.0488475i,0.0181478+0.0181179i,0.00219802+0.00183621i
-0.00782522+0.0508067i,0.0166436+0.0198132i,0.00195782+0.00119141i
-0.00812488+0.0525038i,0.0153276+0.0208229i,0.00172257+0.000448121i
-0.00723859+0.0538922i,0.0142904+0.0211971i,0.00145077+-0.00035734i
-0.00510864+0.0548562i,0.013567+0.0209888i,0.00109743+-0.00118149i
-0.00175281+0.0552114i,0.013142+0.0202487i,0.000621669+-0.00197079i
0.00271566+0.0547186i,0.0129564+0.0190258i,-4.57785e-06+-0.0026603i
0.00806878+0.0531134i,0.0129172+0.017373i,-0.000787026+-0.0031755i
0.0139517+0.0501511i,0.0129082+0.0153548i,-0.00170011+-0.00343857i
0.0198865+0.0456649i,0.0128047+0.0130549i,-0.00268078+-0.00338006i
0.0253+0.03963i,0.0124887+0.0105823i,-0.00362791+-0.00295531i
0.0179294+0.0178234i,0.00958494+-0.0109429i,0.0038236+0.000410172i
0.0158519+0.0217018i,0.0135929+-0.00855106i,0.00383984+0.000942955i
0.0133711+0.0253958i,0.01686+-0.00509031i,0.00373004+0.00142071i
0.0105539+0.028832i,0.0191606+-0.000937038i,0.00351738+0.00179266i
0.00751833+0.0319487i,0.020439+0.00351174i,0.00323755+0.00202349i
0.00442201+0.034713i,0.0207804+0.00789922i,0.00292877+0.00209519i
0.00144486+0.0371257i,0.0203659+0.011944i,0.0026235+0.002005i
-0.00122697+0.039216i,0.0194266+0.015452i,0.00234297+0.00176167i
-0.00341419+0.0410281i,0.0182025+0.0183101i,0.0020946+0.00138148i
-0.00495388+0.0426043i,0.016912+0.0204702i,0.00187171+0.000885435i
-0.0057066+0.0439673i,0.015732+0.021929i,0.00165514+0.000297924i
-0.00556308+0.0451039i,0.0147864+0.0227086i,0.00141634+-0.000352884i
-0.00445259+0.0459539i,0.0141421+0.0228427i,0.00112156+-0.00103348i
-0.00235418+0.0464047i,0.0138097+0.0223674i,0.000737323+-0.001703i
0.000689053+0.0462955i,0.0137472+0.0213203i,0.000236945+-0.00231172i
0.00455437+0.0454314i,0.0138678+0.0197441i,-0.000392085+-0.00280137i
0.0090261+0.0436099i,0.0140503+0.0176945i,-0.00114057+-0.00310841i
0.0137901+0.0406592i,0.0141526+0.0152507i,-0.00197127+-0.00317116i
0.0184424+0.0364845i,0.0140304+0.0125239i,-0.00281578+-0.00294105i
0.0225185+0.0311164i,0.0135581+0.00966097i,-0.00357699+-0.00239709i
0.0179779+0.0193776i,0.0106757+-0.00741514i,0.00332079+0.000849571i
0.0150599+0.022661i,0.0141349+-0.0048751i,0.003128+0.00113833i
0.0120342+0.0254664i,0.0169275+-0.00142226i,0.00290274+0.00134053i
