0.0148937+0.00789901i,-0.0265286+-0.00672779i,0.00142835+-0.00168383i
0.0158768+0.00889372i,-0.0263301+-0.0061108i,0.00127767+-0.0015896i
0.0168586+0.00963788i,-0.0260754+-0.00476924i,0.00105128+-0.00153801i
0.0178719+0.0100301i,-0.0257133+-0.00275105i,0.000758797+-0.00151908i
0.0189324+0.00997939i,-0.0251473+-0.000130587i,0.000408107+-0.00151515i
0.020026+0.00940581i,-0.0242483+0.00298631i,6.93744e-06+-0.0015025i
0.0210998+0.00824378i,-0.0228713+0.0064554i,-0.000434712+-0.00145322i
0.0220567+0.00644971i,-0.020878+0.0100884i,-0.000901651+-0.00133751i
0.0227556+0.00401389i,-0.0181619+0.0136519i,-0.00137069+-0.00112692i
0.0230177+0.000976126i,-0.0146758+0.0168756i,-0.00180866+-0.000798545i
0.0226422+-0.00255746i,-0.0104559+0.01947i,-0.00217204+-0.000340356i
0.0214315+-0.00640025i,-0.00563754+0.0211574i,-0.00240915+0.000242867i
0.0192262+-0.0102788i,-0.000457296+0.0217096i,-0.00246556+0.000924065i
0.00716357+0.00224538i,-0.0164702+0.00594066i,-0.000176215+-0.002279i
0.00741932+0.00223437i,-0.0189816+0.00392362i,0.00028589+-0.00242011i
0.00807973+0.0024341i,-0.0209205+0.00168322i,0.000727838+-0.00243214i
0.00899418+0.00292808i,-0.0222914+-0.000499412i,0.00110353+-0.00234635i
0.0100291+0.00371527i,-0.0231722+-0.00238729i,0.00138542+-0.00220232i
0.0110905+0.00473557i,-0.0236766+-0.00380224i,0.00156228+-0.00203899i
0.0121308+0.00589446i,-0.0239207+-0.00462564i,0.00163447+-0.00188867i
0.0131437+0.00708227i,-0.0239979+-0.00479103i,0.00160893+-0.00177391i
0.0141534+0.00818629i,-0.023962+-0.00427428i,0.00149468+-0.00170652i
0.0151995+0.0090965i,-0.0238192+-0.00308521i,0.00129988+-0.00168774i
0.0163216+0.00970697i,-0.0235278+-0.00126309i,0.00103043+-0.00170918i
0.0175447+0.00991536i,-0.0230034+0.00112328i,0.000690141+-0.00175379i
0.0188654+0.00962315i,-0.022131+0.00397172i,0.000282438+-0.00179696i
0.0202399+0.00873885i,-0.0207812+0.00714122i,-0.000186912+-0.00180792i
0.0215759+0.007186i,-0.0188322+0.0104477i,-0.000706262+-0.00175166i
0.0227274+0.00491675i,-0.0161942+0.0136648i,-0.00125438+-0.00159207i
0.0234982+0.00193074i,-0.012836+0.0165324i,-0.0017973+-0.00129654i
